,Network,Sample Size,Epochs,Burn in,sample interval,Temperature,Test Accuracy,Test ECE,Test AUROC,Posterior mean,Posterior var
0,FCNN,3750,1600.0,320.0,64.0,0.001,0.8896,0.13309562,0.9896447274316964,tensor(0.0024),tensor(0.0004)
1,FCNN,15000,400.0,80.0,16.0,0.001,0.9543,0.18158048,0.9979006091209156,tensor(0.0016),tensor(0.0008)
2,FCNN,60000,100.0,20.0,4.0,0.001,0.9795,0.036477756,0.9996217187919942,tensor(0.0003),tensor(0.0014)
3,FCNN,120000,50.0,10.0,2.0,0.001,0.976,0.09489441,0.9993386914268436,tensor(-0.0018),tensor(0.0023)
4,FCNN,3750,1600.0,320.0,64.0,0.01,0.897,0.129189,0.9917601278058562,tensor(0.0014),tensor(0.0004)
5,FCNN,15000,400.0,80.0,16.0,0.01,0.9516,0.15793902,0.9976120694886964,tensor(0.0010),tensor(0.0008)
6,FCNN,60000,100.0,20.0,4.0,0.01,0.9785,0.033912197,0.9996154761098912,tensor(0.0002),tensor(0.0014)
7,FCNN,120000,50.0,10.0,2.0,0.01,0.9751,0.1475265,0.9991515182671217,tensor(-0.0033),tensor(0.0074)
8,FCNN,3750,1600.0,320.0,64.0,0.1,0.902,0.13562049,0.9917260142971023,tensor(0.0015),tensor(0.0004)
9,FCNN,15000,400.0,80.0,16.0,0.1,0.9517,0.13647085,0.9975301824343917,tensor(0.0012),tensor(0.0008)
10,FCNN,60000,100.0,20.0,4.0,0.1,0.9789,0.031877022,0.9996563004404097,tensor(0.0004),tensor(0.0014)
11,FCNN,120000,50.0,10.0,2.0,0.1,0.978,0.10360852,0.9994005458224378,tensor(-0.0018),tensor(0.0022)
12,FCNN,3750,1600.0,320.0,64.0,1.0,0.8954,0.13469921,0.9906343233882129,tensor(0.0023),tensor(0.0007)
13,FCNN,15000,400.0,80.0,16.0,1.0,0.9489,0.13773207,0.997847688715674,tensor(0.0015),tensor(0.0008)
14,FCNN,60000,100.0,20.0,4.0,1.0,0.981,0.028500564,0.9996855669110264,tensor(0.0005),tensor(0.0014)
15,FCNN,120000,50.0,10.0,2.0,1.0,0.9793,0.11303063,0.9994989243187179,tensor(-0.0020),tensor(0.0023)
16,CNN,3750,1600.0,320.0,64.0,0.001,0.9471,0.08029808,0.9978675717526446,tensor(0.0063),tensor(0.0072)
17,CNN,15000,400.0,80.0,16.0,0.001,0.9597,0.32374024,0.9984026728623501,tensor(0.0017),tensor(0.0144)
18,CNN,60000,100.0,20.0,4.0,0.001,0.1135,0.0015188381,0.5,tensor(-1.0214e-06),tensor(1.6265e-05)
19,CNN,120000,50.0,10.0,2.0,0.001,0.1135,0.0012397319,0.5,tensor(-9.3029e-07),tensor(2.6429e-05)
20,CNN,3750,1600.0,320.0,64.0,0.01,0.1135,0.0024193749,0.4861704528886288,tensor(4.1177e-05),tensor(1.9244e-05)
21,CNN,15000,400.0,80.0,16.0,0.01,0.1135,0.002469629,0.4992820121932896,tensor(-8.5285e-06),tensor(1.5985e-05)
22,CNN,60000,100.0,20.0,4.0,0.01,0.1135,0.0017925426,0.5,tensor(2.5455e-06),tensor(1.6235e-05)
23,CNN,120000,50.0,10.0,2.0,0.01,0.1135,0.0022974089,0.5,tensor(6.2719e-07),tensor(3.0317e-05)
24,CNN,3750,1600.0,320.0,64.0,0.1,0.1028,0.0038888007,0.6309376427547977,tensor(4.4981e-05),tensor(3.6443e-05)
25,CNN,15000,400.0,80.0,16.0,0.1,0.9656,0.35582864,0.9983433986483977,tensor(0.0017),tensor(0.0137)
26,CNN,60000,100.0,20.0,4.0,0.1,0.9804,0.5867719,0.9995571318852194,tensor(0.0007),tensor(0.0081)
27,CNN,120000,50.0,10.0,2.0,0.1,0.1135,0.0024133176,0.4987021977576984,tensor(-2.5314e-06),tensor(2.8018e-05)
28,CNN,3750,1600.0,320.0,64.0,1.0,0.9495,0.12176684,0.9979036317042249,tensor(0.0061),tensor(0.0075)
29,CNN,15000,400.0,80.0,16.0,1.0,0.9674,0.2545619,0.9990841898738567,tensor(0.0020),tensor(0.0144)
30,CNN,60000,100.0,20.0,4.0,1.0,0.9812,0.027277853,0.9997466367588437,tensor(-8.0064e-05),tensor(0.0265)
31,CNN,120000,50.0,10.0,2.0,1.0,0.1135,0.0006357953,0.6223544954493885,tensor(-0.0002),tensor(0.0002)
